innovation,EA region,alt EA region,comments,action for Feb RITE report (quick & dirty),action for March (full analysis)
act,net,amsterdam,Amsterdam has weird data,,caution when doing multi-region knowledge spillover as Amsterdam should be EA
cli,swe,,but no data <2020 for EU countries,drop innovation - unreliable data,
coh,den,Vaud,"earlier in Canton of Vaud, but opportunistic data availability - use country EA",,drop Vaud from multi-region comparison to avoid skewing results (as it's an EA not a LA)
cro,hei,Berlin,"(Berlin used as backup, more data)",,
crs,ger,,only 1 region,,
crz,fra,,,flip sign (down trend=HwL); drop innovation - trend in wrong direction: mobesity not smaller cars,
dig,swe,,defined in original data file,,
dow,swi,,only 1 region,,
dri,swe,stockholm,Stockholm has weird data,,"**DONE** move 1.1 (% total pop) to 4.3 compatibility, change 3.2 (% of age<=19) to 1.1, change other 1.1s to 3.2 * relabel in underlying data file *"
eat,ger,,peak red meat in GER in 1980s before others,flip sign (down trend=HwL),** DONE ** too many 1.1s - pick preferred 1.1 & move others to 2.5 variety of choice * relabel in underlying data file
ebi,net,"beijing, china",data available later for China,,caution when doing multi-region knowledge spillover as China should be EA
eco,usa,,,,** DONE** too many 1.1s - pick preferred 1.1 & move entreprise turnover to 2.2 profitability * relabel in underlying data file *
ego,swe,,,,
ene,net,,only 1 region,,
fir,eur,,,,
foo,usa,,only 1 region,flip sign (down trend=HwL),
low,ger,,only 1 region,drop innovation - data series are all rail (non long-distance),"rename as rail (short + long distance), but this needs other regions & longer timeframe!"
mic,ind,,defined in original data file,,
non,swe,,,,
org,den,,defined in original data file,,** DONE** too many 1.1s - pick preferred 1.1 & move others to 2.1 * relabel in underlying data file *
pas,ger,,,,** DONE ** too many 1.1s - pick preferred 1.1 & move others to 2.5 & 2.9 * relabel in underlying data file * + new BBK file from 12Jan
pos,uki,,only 1 region,drop - nonLED,drop - nonLED
qui,uki,,assumed for now,flip sign (down trend=HwL),
sol,new,,,use 1.1 market share based on lower income categories,** DONE ** pick preferred 1.1 & move others to 3.2 * relabel in underlying data file *
sus,glo,,only 1 region for 1.1 (other regions for non1.1 only),,sort out 1.1s for countries (currently 1.1 only available globally)
tel,net,,hard to tell; strong 2022 Covid skew; EA picks pre-2020 trend,,
tex,usa,,only 1 region,,
